Ticket,A_Utility,A_Cost,Sup
21 169,553.8378378378378,8.43918918918919, 148
39 169,553.8378378378378,8.75, 148
21 39,553.8378378378378,10.14864864864865, 148
156 169,553.8378378378378,10.317567567567568, 148
168 169,553.8378378378378,11.324324324324325, 148
21 156,553.8378378378378,11.716216216216216, 148
39 156,553.8378378378378,12.027027027027026, 148
21 168,553.8378378378378,12.722972972972974, 148
39 168,553.8378378378378,13.033783783783784, 148
169 197,553.8378378378378,13.506756756756756, 148
34 169,553.8378378378378,14.256756756756756, 148
164 169,553.8378378378378,14.412162162162161, 148
156 168,553.8378378378378,14.60135135135135, 148
21 197,553.8378378378378,14.905405405405405, 148
39 197,553.8378378378378,15.216216216216216, 148
21 34,553.8378378378378,15.655405405405405, 148
21 164,553.8378378378378,15.81081081081081, 148
133 169,553.8378378378378,15.878378378378379, 148
34 39,553.8378378378378,15.966216216216216, 148
39 164,553.8378378378378,16.12162162162162, 148
23 169,553.8378378378378,16.60810810810811, 148
69 169,553.8378378378378,16.743243243243242, 148
156 197,553.8378378378378,16.783783783783782, 148
21 133,553.8378378378378,17.277027027027028, 148
34 156,553.8378378378378,17.533783783783782, 148
39 133,553.8378378378378,17.58783783783784, 148
156 164,553.8378378378378,17.68918918918919, 148
168 197,553.8378378378378,17.79054054054054, 148
21 23,553.8378378378378,18.006756756756758, 148
21 69,553.8378378378378,18.14189189189189, 148
20 169,553.8378378378378,18.2972972972973, 148
23 39,553.8378378378378,18.31756756756757, 148
39 69,553.8378378378378,18.4527027027027, 148
34 168,553.8378378378378,18.54054054054054, 148
21 39 169,553.8378378378378,18.58783783783784, 148
164 168,553.8378378378378,18.695945945945947, 148
146 169,553.8378378378378,19.027027027027028, 148
133 156,553.8378378378378,19.155405405405407, 148
20 21,553.8378378378378,19.695945945945947, 148
23 156,553.8378378378378,19.885135135135137, 148
20 39,553.8378378378378,20.006756756756758, 148
69 156,553.8378378378378,20.02027027027027, 148
21 156 169,553.8378378378378,20.155405405405407, 148
133 168,553.8378378378378,20.16216216216216, 148
21 146,553.8378378378378,20.425675675675677, 148
34 197,553.8378378378378,20.722972972972972, 148
39 146,553.8378378378378,20.736486486486488, 148
39 156 169,553.8378378378378,20.777027027027028, 148
164 197,553.8378378378378,20.87837837837838, 148
23 168,553.8378378378378,20.89189189189189, 148
69 168,553.8378378378378,21.027027027027028, 148
21 168 169,553.8378378378378,21.16216216216216, 148
20 156,553.8378378378378,21.574324324324323, 148
